MSOA11CD,change
E02000001,9
E02000002,6
E02000003,11
E02000004,3
E02000005,16
E02000007,13
E02000008,-4
E02000009,7
E02000010,16
E02000011,6
E02000012,15
E02000013,9
E02000014,15
E02000015,14
E02000016,26
E02000017,14
E02000018,8
E02000019,10
E02000020,30
E02000021,10
E02000022,34
E02000023,7
E02000024,4
E02000025,19
E02000026,-1
E02000027,6
E02000028,6
E02000029,15
E02000030,-7
E02000031,20
E02000032,6
E02000033,-5
E02000034,-1
E02000035,-3
E02000036,3
E02000037,12
E02000038,-6
E02000039,3
E02000040,18
E02000041,23
E02000042,27
E02000043,9
E02000044,11
E02000045,2
E02000046,7
E02000047,-1
E02000048,23
E02000049,15
E02000050,-9
E02000051,-9
E02000052,16
E02000053,45
E02000054,22
E02000055,40
E02000056,-3
E02000057,14
E02000058,-7
E02000059,7
E02000060,30
E02000061,13
E02000062,49
E02000063,19
E02000064,11
E02000065,18
E02000066,8
E02000067,8
E02000068,14
E02000069,14
E02000070,11
E02000071,5
E02000072,25
E02000073,6
E02000074,6
E02000075,5
E02000077,1
E02000078,1
E02000079,3
E02000080,-3
E02000081,6
E02000082,0
E02000083,8
E02000084,5
E02000085,2
E02000086,9
E02000087,2
E02000088,4
E02000089,1
E02000090,4
E02000091,4
E02000092,2
E02000093,10
E02000094,7
E02000095,8
E02000096,-28
E02000097,4
E02000098,2
E02000099,-15
E02000100,5
E02000101,22
E02000102,-4
E02000103,40
E02000104,14
E02000105,4
E02000106,0
E02000107,-18
E02000108,6
E02000109,186
E02000110,-17
E02000111,-9
E02000112,0
E02000113,4
E02000114,-75
E02000115,14
E02000116,-46
E02000117,-14
E02000118,15
E02000119,8
E02000120,7
E02000121,5
E02000122,11
E02000123,-37
E02000124,-27
E02000125,-26
E02000126,-5
E02000127,5
E02000128,-5
E02000130,1
E02000131,20
E02000132,-7
E02000133,2
E02000134,4
E02000135,4
E02000136,5
E02000137,-3
E02000138,5
E02000139,7
E02000140,0
E02000141,8
E02000142,0
E02000144,-1
E02000145,6
E02000146,1
E02000147,0
E02000148,3
E02000149,-2
E02000150,0
E02000151,0
E02000152,3
E02000153,1
E02000154,4
E02000155,12
E02000156,-2
E02000157,6
E02000158,1
E02000159,6
E02000161,2
E02000162,5
E02000163,11
E02000165,0
E02000166,10
E02000167,5
E02000168,-57
E02000169,15
E02000170,0
E02000171,-3
E02000172,-1
E02000173,5
E02000174,-2
E02000175,32
E02000176,-25
E02000177,50
E02000178,16
E02000179,-30
E02000180,-24
E02000181,10
E02000182,-16
E02000183,35
E02000184,4
E02000185,-39
E02000186,45
E02000187,27
E02000188,27
E02000189,96
E02000190,30
E02000191,-33
E02000192,-24
E02000193,38
E02000194,10
E02000195,4
E02000196,-2
E02000197,5
E02000198,28
E02000199,8
E02000200,13
E02000201,15
E02000202,24
E02000203,11
E02000204,21
E02000206,-6
E02000207,7
E02000208,8
E02000209,16
E02000210,10
E02000211,5
E02000212,10
E02000213,38
E02000214,10
E02000215,31
E02000216,10
E02000217,20
E02000218,1
E02000219,3
E02000220,43
E02000221,15
E02000222,-2
E02000223,3
E02000224,3
E02000226,10
E02000227,-1
E02000228,-3
E02000230,9
E02000231,-8
E02000232,-3
E02000233,-3
E02000234,0
E02000235,6
E02000236,2
E02000237,2
E02000238,15
E02000239,5
E02000240,2
E02000241,0
E02000242,-1
E02000243,5
E02000244,3
E02000245,4
E02000246,6
E02000247,0
E02000248,20
E02000249,9
E02000250,-2
E02000251,7
E02000252,76
E02000253,11
E02000255,-3
E02000256,3
E02000257,12
E02000258,36
E02000259,3
E02000260,22
E02000261,-21
E02000262,45
E02000263,8
E02000264,-19
E02000265,8
E02000266,41
E02000267,6
E02000268,14
E02000269,7
E02000270,13
E02000271,-11
