MSOA11CD,price_change
E02000001,36.0
E02000002,34.0
E02000003,25.0
E02000004,32.0
E02000005,25.0
E02000007,47.5
E02000008,116.0
E02000009,82.0
E02000010,38.0
E02000011,28.5
E02000012,0.0
E02000013,11.0
E02000014,26.0
E02000015,22.5
E02000016,50.0
E02000017,11.5
E02000018,41.5
E02000019,16.0
E02000020,-7.0
E02000021,-70.0
E02000022,60.0
E02000023,-5.0
E02000024,30.0
E02000025,7.5
E02000026,54.0
E02000027,15.0
E02000028,2.5
E02000029,20.0
E02000030,50.0
E02000031,33.5
E02000032,14.5
E02000033,11.5
E02000034,25.0
E02000035,0.0
E02000036,23.5
E02000037,24.0
E02000038,10.0
E02000039,7.0
E02000040,37.0
E02000041,37.5
E02000042,56.0
E02000043,37.0
E02000044,46.5
E02000045,47.5
E02000046,24.0
E02000047,14.5
E02000048,37.0
E02000049,35.0
E02000050,20.0
E02000051,67.5
E02000052,23.5
E02000053,39.5
E02000054,21.0
E02000055,30.0
E02000056,20.0
E02000057,39.0
E02000058,24.5
E02000059,29.0
E02000060,50.0
E02000061,19.0
E02000062,55.0
E02000063,33.0
E02000064,15.0
E02000065,12.5
E02000066,39.5
E02000067,29.0
E02000068,25.0
E02000069,10.5
E02000070,24.5
E02000071,-20.0
E02000072,40.0
E02000073,2.0
E02000074,-58.0
E02000075,-4.5
E02000077,13.5
E02000078,16.0
E02000079,25.0
E02000080,31.0
E02000081,72.0
E02000082,15.0
E02000083,47.0
E02000084,17.0
E02000085,92.0
E02000086,32.0
E02000087,45.0
E02000088,9.0
E02000089,11.0
E02000090,56.0
E02000091,7.5
E02000092,-49.0
E02000093,64.5
E02000094,28.0
E02000095,-1.0
E02000096,5.0
E02000097,30.5
E02000098,23.0
E02000099,-8.0
E02000100,29.0
E02000101,67.5
E02000102,38.0
E02000103,65.0
E02000104,15.0
E02000105,38.0
E02000106,34.0
E02000107,1.0
E02000108,43.0
E02000109,71.0
E02000110,2.0
E02000111,35.0
E02000112,18.5
E02000113,35.0
E02000114,4.0
E02000115,12.0
E02000116,3.0
E02000117,19.0
E02000118,23.5
E02000119,37.0
E02000120,30.0
E02000121,9.5
E02000122,17.5
E02000123,25.5
E02000124,22.0
E02000125,29.5
E02000126,32.0
E02000127,15.0
E02000128,5.0
E02000130,35.0
E02000131,30.0
E02000132,22.0
E02000133,30.0
E02000134,30.0
E02000135,25.0
E02000136,20.0
E02000137,32.5
E02000138,50.0
E02000139,26.0
E02000140,18.0
E02000141,1.5
E02000142,8.5
E02000144,19.0
E02000145,28.0
E02000146,24.0
E02000147,22.5
E02000148,22.5
E02000149,-5.0
E02000150,-2.5
E02000151,10.0
E02000152,64.5
E02000153,12.5
E02000154,25.5
E02000155,41.5
E02000156,35.0
E02000157,-78.0
E02000158,104.0
E02000159,78.0
E02000161,53.0
E02000162,12.0
E02000163,30.5
E02000165,0.0
E02000166,27.0
E02000167,40.5
E02000168,20.0
E02000169,22.0
E02000170,30.0
E02000171,29.0
E02000172,5.5
E02000173,25.5
E02000174,10.0
E02000175,23.5
E02000176,10.0
E02000177,36.0
E02000178,25.0
E02000179,16.0
E02000180,15.0
E02000181,27.0
E02000182,20.0
E02000183,-20.0
E02000184,20.0
E02000185,38.0
E02000186,29.5
E02000187,24.0
E02000188,-2.5
E02000189,14.86
E02000190,48.5
E02000191,31.0
E02000192,52.5
E02000193,38.0
E02000194,8.0
E02000195,16.0
E02000196,9.0
E02000197,40.0
E02000198,13.0
E02000199,1.0
E02000200,10.0
E02000201,13.5
E02000202,18.0
E02000203,3.5
E02000204,14.5
E02000206,12.0
E02000207,21.0
E02000208,26.5
E02000209,15.0
E02000210,30.0
E02000211,17.5
E02000212,16.0
E02000213,27.0
E02000214,18.0
E02000215,5.0
E02000216,15.0
E02000217,40.0
E02000218,14.5
E02000219,-37.5
E02000220,20.0
E02000221,33.5
E02000222,35.5
E02000223,5.5
E02000224,14.5
E02000226,4.0
E02000227,2.5
E02000228,13.5
E02000230,38.0
E02000231,7.5
E02000232,20.0
E02000233,107.5
E02000234,13.0
E02000235,14.0
E02000236,-5.0
E02000237,13.0
E02000238,36.5
E02000239,9.0
E02000240,34.5
E02000241,25.0
E02000242,10.0
E02000243,7.5
E02000244,6.0
E02000245,25.0
E02000246,25.5
E02000247,0.0
E02000248,20.0
E02000249,36.0
E02000250,20.0
E02000251,26.5
E02000252,25.0
E02000253,22.5
E02000255,12.5
E02000256,6.0
E02000257,27.5
E02000258,21.0
E02000259,10.0
E02000260,45.0
E02000261,20.0
E02000262,35.5
E02000263,82.0
E02000264,39.0
E02000265,-5.0
E02000266,54.5
E02000267,55.0
E02000268,20.5
E02000269,27.0
E02000270,16.0
E02000271,26.0
E02000272,47.0
E02000274,31.0
E02000275,50.5
E02000276,26.0
E02000277,67.0
E02000278,37.5
E02000279,15.5
E02000280,16.0
E02000281,40.0
E02000282,59.0
E02000283,26.5
E02000284,17.0
E02000285,-11.0
E02000286,1.0
E02000287,34.0
E02000288,3.0
E02000289,22.5
E02000290,49.0
E02000291,65.0
E02000292,-10.5
E02000293,-5.0
E02000294,-22.0
E02000295,31.0
E02000296,39.0
E02000297,25.5
E02000298,0.0
E02000299,-16.0
E02000300,70.0
E02000301,45.5
