id,availability_365,latitude,longitude
9554,270,51.58776705,-0.105666471
11076,80,51.51564502,-0.314508238
11417,172,51.50599369,-0.069689806
11551,299,51.46225433,-0.117324045
13913,364,51.56801695,-0.111208043
15400,58,51.48796164,-0.168980583
24328,287,51.47298098,-0.16376388
24903,350,51.51190719,-0.037597893
25023,26,51.44687191,-0.218743953
25123,232,51.57224301,-0.209059764
26682,365,51.485037,-0.185546777
26713,4,51.52373281,-0.187567116
26810,2,51.52321835,-0.188435335
26815,0,51.52429445,-0.188324598
28010,324,51.52496864,-0.073726831
29256,197,51.61509157,-0.158290686
29875,312,51.50035557,-0.082242008
31361,320,51.53484108,0.027071035
34575,206,51.54092843,-0.119199566
34825,359,51.52513129,-0.117492308
36299,356,51.47934474,-0.280661514
36660,134,51.58461209,-0.161695579
36986,73,51.53971507,-0.058854881
37384,365,51.46871269,-0.064552109
38151,365,51.4193969,-0.087219007
38407,35,51.49994513,-0.02624264
38605,213,51.50686711,-0.233280913
38610,76,51.50818894,-0.232842121
38995,89,51.47891809,-0.060399107
39387,364,51.52588751,-0.199424742
40228,89,51.5885998,-0.088053481
41311,346,51.5737541,-0.208902668
41445,365,51.61648002,-0.257876177
41509,181,51.49156665,-0.256000208
41712,365,51.50205019,-0.100150134
41870,358,51.55842367,0.003823113
42010,156,51.58611257,-0.162721566
42053,0,51.50114191,-0.318421485
42692,0,51.50803197,-0.215989828
42839,365,51.48985597,-0.031195123
42941,363,51.43711531,-0.321420319
43129,346,51.48172435,-0.209567079
43202,50,51.53032976,-0.217343672
44144,365,51.47478898,-0.19302747
44649,213,51.54060716,-0.084626255
45163,159,51.55224048,-0.199643609
45168,99,51.51736696,-0.195761875
45380,142,51.57859135,-0.105441584
45434,342,51.42404638,-0.085898035
46491,365,51.56172035,-0.100538455
46511,184,51.53604495,0.019397628
46675,199,51.49733999,-0.229367248
46992,12,51.55028744,-0.051904606
47192,323,51.52969679,-0.143837658
47249,347,51.56268331,-0.08054937
47369,199,51.52120722,-0.185170285
49663,83,51.44844458,-0.10005808
49970,146,51.49526613,-0.229376171
51012,365,51.52187646,-0.148461696
51830,205,51.51732367,-0.193130376
52151,58,51.54957409,-0.08808327
53242,248,51.47075184,-0.129125527
53245,265,51.47246142,-0.127265141
54970,364,51.55082621,-0.214144678
55706,22,51.49587958,-0.154403752
56784,365,51.39997655,-0.105480166
57627,365,51.55015471,-0.213877674
59656,358,51.52294093,-0.18420916
60395,248,51.49540166,-0.310815699
61692,365,51.4888068,-0.065494447
62259,365,51.56508584,-0.050261167
62260,365,51.5647093,-0.049004188
62970,285,51.52477878,-0.069646327
63470,359,51.65428311,-0.180931607
63679,282,51.49486412,-0.191229512
63864,359,51.49945713,-0.019342776
64429,288,51.52053458,-0.209681014
64942,0,51.53203521,-0.061255716
65161,365,51.54157709,-0.167110206
65638,263,51.48624103,-0.096239534
65908,363,51.45970504,-0.12007759
67025,21,51.49599833,-0.154224475
67851,51,51.54116941,-0.058665727
67934,365,51.60201993,-0.261385811
69198,365,51.59015861,-0.094271962
69212,365,51.38841501,-0.106494427
71614,49,51.55296638,-0.088766014
71875,260,51.52278841,-0.13918558
71983,365,51.47435419,-0.154399365
72059,251,51.59477707,-0.141416089
72913,76,51.48064445,-0.114387391
73431,0,51.46295081,-0.111999707
74107,45,51.54144367,-0.207843491
75120,329,51.49388982,-0.204175152
76440,63,51.54367303,0.010512043
76932,361,51.52506418,-0.184502063
77889,36,51.55330853,-0.127331319
78606,365,51.57157288,0.010879992
78892,68,51.46452279,-0.079701445
79111,349,51.53324826,-0.080524732
79129,363,51.3971071,-0.21341703
79216,365,51.43827661,-0.019752408
79488,355,51.51869887,-0.16726088
79571,0,51.49170269,-0.161834274
79704,220,51.49829124,-0.034185447
80123,70,51.45330465,-0.156464272
80433,365,51.43665928,-0.090760452
80441,94,51.4949363,-0.120036357
80454,365,51.43567216,-0.090996624
81015,365,51.40092102,-0.104518487
81080,360,51.40691946,-0.334499622
81211,352,51.5483844,-0.163435949
81305,0,51.52357692,-0.141675957
81399,365,51.47948065,-0.12148016
81410,303,51.52123362,-0.140328703
81430,364,51.56051112,-0.099970554
81449,180,51.51162749,-0.066802247
81470,117,51.49710338,-0.233539135
81473,179,51.41642189,-0.076451261
81487,298,51.55044491,-0.160861784
81611,364,51.44642037,-0.203965133
81635,327,51.52841643,-0.111405477
81951,364,51.58519086,0.156390375
82272,355,51.49088719,-0.098788435
82665,92,51.53834297,-0.079181363
83027,365,51.46720915,0.043712873
83308,350,51.53720234,-0.192622307
83537,353,51.55870392,-0.092336876
84223,298,51.48655557,-0.106540091
84259,365,51.4876237,-0.098427367
84532,82,51.57552446,-0.0605236
84575,342,51.50001033,-0.230279831
85111,4,51.41943537,-0.207485262
85159,6,51.52630685,-0.05811951
85191,359,51.48968023,-0.116369176
85387,223,51.5212321,-0.13954376
85406,114,51.51847697,-0.185539339
86092,270,51.48699085,-0.198260551
87514,199,51.52508903,-0.11439729
88032,254,51.44592854,-0.206083189
88518,44,51.47834834,0.021623421
88571,364,51.48449699,-0.21721101
89432,88,51.49214656,-0.1310353
89459,282,51.49161498,-0.143970212
89783,365,51.44642247,-0.124835157
89816,135,51.50776104,-0.12334463
89870,357,51.56821884,-0.112656514
90358,19,51.49934295,-0.191811122
90495,365,51.55306508,-0.23864265
90522,364,51.4129722,-0.113667338
90549,43,51.49798284,-0.013251619
90663,190,51.50779969,-0.122597484
90681,362,51.44762415,-0.057156707
90700,171,51.51074064,-0.198533557
90965,64,51.49091586,-0.073185502
91031,8,51.48178529,-0.147700851
91946,363,51.49970114,-0.193300425
92352,8,51.5427342,-0.09947598
92399,293,51.5507074,-0.085467424
92644,353,51.44004095,-0.187547714
92668,365,51.41336619,0.026654763
92694,164,51.55246729,-0.074700395
93015,349,51.50178087,-0.216268327
93390,67,51.48958126,-0.189445485
93457,0,51.53901416,-0.135960106
93500,0,51.46440786,-0.126686283
93779,358,51.52686884,-0.063473915
93783,246,51.5182623,-0.194993064
93868,178,51.30509496,-0.083434044
94144,365,51.52825166,-0.052066161
95059,320,51.52688505,-0.052427427
96008,365,51.43922515,-0.104214598
96052,358,51.557863,-0.226299328
96640,365,51.57204016,-0.083393848
97124,364,51.49149136,-0.185083359
97178,227,51.52099377,-0.228517678
97209,0,51.55457267,-0.036426904
97506,364,51.42874636,-0.120557507
97583,364,51.60795837,-0.125509234
97974,184,51.46586611,-0.236320008
98102,143,51.46559997,0.029860524
98541,364,51.57419456,-0.139577686
98750,365,51.4784508,-0.193279286
98776,320,51.53454308,0.027064684
99333,164,51.54680209,-0.106671232
99742,365,51.49905546,-0.228027743
100326,167,51.56485216,-0.056116481
100479,320,51.52715462,-0.05594443
101083,189,51.47828337,-0.129442584
101923,90,51.57567439,-0.087206273
102391,175,51.54647327,-0.056639712
102565,166,51.506154,-0.1078
103040,15,51.54198254,-0.094476929
103070,365,51.44266106,-0.14594081
103682,38,51.53326694,-0.030035475
103865,365,51.48814876,-0.223150521
105097,274,51.49880349,-0.227270955
105129,324,51.49127825,-0.208418914
105532,220,51.58903164,-0.016579629
106332,342,51.52960304,-0.053637427
106997,0,51.52848896,-0.206831133
107048,304,51.52406765,-0.105542626
107051,181,51.52115743,-0.18359208
107421,211,51.50569254,-0.193896995
108529,251,51.4725911,-0.088721917
108562,0,51.56803804,-0.112037351
109226,365,51.54088724,-0.089004208
110719,358,51.53421749,-0.222680915
111255,365,51.47560509,-0.05987521
111655,31,51.46083599,-0.116797823
116268,337,51.61307815,-0.118288408
117203,70,51.50067467,-0.232877597
118805,290,51.5164294,-0.121114892
118832,352,51.54926223,-0.115508162
118863,0,51.53887324,-0.121325668
119879,0,51.5245108,-0.079698282
122140,11,51.50916396,0.017518649
127860,0,51.4471465,-0.339252618
131444,59,51.48973575,-0.111158651
133946,365,51.57827877,-0.087298545
137581,227,51.51173269,-0.076594818
138800,364,51.51411125,-0.041204923
140518,357,51.60155165,-0.188603893
141311,0,51.52548533,-0.058696776
142117,356,51.52901547,-0.089435066
143028,0,51.40269265,-0.191771755
143478,365,51.53961126,-0.056104884
143568,286,51.53057943,-0.012028602
145611,35,51.50104664,-0.088440929
145612,74,51.50548836,-0.33443158
145718,364,51.48716695,-0.201739333
147244,320,51.48493003,-0.12475069
147687,359,51.48259032,-0.186601179
147802,0,51.49166144,-0.063709889
150900,341,51.48196816,-0.179650294
151377,364,51.55893237,-0.042054578
152114,358,51.41176895,-0.310294202
152854,189,51.55210989,-0.052106294
152863,21,51.58461798,-0.146772596
154221,0,51.48831104,-0.138292525
156966,181,51.48795176,-0.100013155
157227,349,51.54632068,-0.074875481
