id,latitude,longitude,price,availability_30,availability_60,availability_90,availability_365
13913,51.56861,-0.1127,$79.00 ,29,59,89,361
15400,51.4878,-0.16813,$75.00 ,0,0,0,29
172811,51.5471,-0.17981,$229.00 ,0,0,0,0
173082,51.53825378,-0.044086002,$132.00 ,5,28,48,111
42010,51.5859,-0.16434,$65.00 ,2,10,33,303
17402,51.52195,-0.14094,$425.00 ,2,22,37,241
42692,51.50822,-0.21562,$125.00 ,0,0,0,0
43129,51.48164,-0.21082,$60.00 ,15,45,75,350
43202,51.53031,-0.21713,$141.00 ,4,9,19,19
43742,51.55143,-0.09493,$78.00 ,5,35,65,340
174132,51.52636,-0.18801,$83.00 ,10,28,45,312
179312,51.55191,-0.11497,$45.00 ,0,0,0,0
181664,51.47368,-0.18217,$197.00 ,11,12,12,212
24328,51.47072,-0.16266,$195.00 ,6,6,23,203
182802,51.43855,-0.32191,$65.00 ,15,44,73,347
45168,51.51812,-0.1977,$125.00 ,0,0,0,0
25123,51.57438,-0.21081,$29.00 ,0,0,0,0
46992,51.55165,-0.05215,$58.00 ,0,0,0,0
183128,51.50038,-0.10001,$110.00 ,6,33,54,54
33332,51.4641,-0.32498,$140.00 ,24,54,84,357
186682,51.54209,-0.202,$69.00 ,0,0,0,0
190015,51.53715,-0.06418,$246.00 ,17,17,17,17
47192,51.52958,-0.14344,$59.00 ,16,31,46,204
47687,51.4934,-0.22929,$64.00 ,1,1,1,196
36299,51.48085,-0.28086,$245.00 ,0,20,50,292
49970,51.49462,-0.22923,$64.00 ,1,7,8,215
36660,51.58478,-0.16057,$82.00 ,2,5,5,196
198258,51.5343,0.08178,$69.00 ,9,39,69,344
38605,51.50681,-0.23345,$60.00 ,0,1,1,1
198279,51.51462,-0.05969,$45.00 ,14,31,59,207
200713,51.3843,-0.12723,$18.00 ,0,0,0,225
51830,51.51757,-0.19195,$121.00 ,0,0,0,1
55402,51.37487,-0.11565,$56.00 ,0,0,0,0
38610,51.50701,-0.23362,$300.00 ,2,22,22,184
55706,51.49506,-0.1563,$306.00 ,0,1,16,16
56229,51.49547,-0.22942,$60.00 ,2,4,22,263
201463,51.53561,-0.11338,$100.00 ,0,0,0,0
38995,51.47859774,-0.061142834,$47.00 ,10,40,70,103
62747,51.52315,-0.05755,$43.00 ,0,0,10,10
39387,51.52605,-0.19942,$42.00 ,0,0,0,0
63948,51.49547,-0.22864,$65.00 ,0,9,12,179
203163,51.48579,-0.10765,$60.00 ,7,7,35,86
41311,51.574,-0.21058,$25.00 ,0,0,0,0
207542,51.5851,-0.10277,$70.00 ,7,35,65,340
65908,51.45932,-0.11874,$80.00 ,0,0,0,0
41445,51.61492,-0.25632,$550.00 ,23,53,83,358
66772,51.4937,-0.22914,$60.00 ,3,22,46,311
41509,51.49351,-0.25568,$150.00 ,30,60,90,180
69198,51.59031,-0.09408,$53.00 ,28,58,88,363
207912,51.3676,-0.12209,$45.00 ,17,19,49,324
208952,51.55239,-0.0346,$263.00 ,0,0,0,0
41712,51.50191,-0.10204,$112.00 ,29,59,89,364
41870,51.5584,0.00258,$37.00 ,0,0,0,0
210010,51.51566,-0.17467,$94.00 ,0,0,0,0
70482,51.54096,-0.0487,$190.00 ,20,50,80,355
314985,51.52626,0.02904,$32.00 ,0,0,0,0
71875,51.52216,-0.13859,$190.00 ,7,28,37,138
214755,51.51146,-0.2021,$616.00 ,22,41,71,214
315238,51.47565,-0.15073,$190.00 ,18,19,40,221
72913,51.48128,-0.11593,$48.00 ,0,0,0,0
315658,51.48383,-0.11655,$50.00 ,0,0,0,0
73125,51.44563,-0.14195,$55.00 ,23,53,83,358
216350,51.47928,-0.22061,$86.00 ,11,41,69,334
229684,51.48793,-0.04204,$30.00 ,0,0,0,0
318287,51.61607,-0.02982,$29.00 ,1,13,43,285
230839,51.5368,-0.07753,$90.00 ,0,0,0,0
73431,51.46161,-0.11023,$120.00 ,3,3,3,10
318986,51.49113,-0.19482,$200.00 ,0,0,0,0
73884,51.49349,-0.22766,$52.00 ,0,0,4,113
320629,51.5385,-0.14719,$90.00 ,0,0,0,0
75995,51.5301,-0.07176,$53.00 ,0,0,0,11
78606,51.57322,0.01045,$99.00 ,18,48,78,353
78892,51.46478,-0.08007,$40.00 ,1,3,13,13
231452,51.47118,-0.1844,$90.00 ,23,53,83,358
231692,51.54818,-0.08428,$44.00 ,0,9,39,39
321411,51.49897,-0.20395,$70.00 ,11,11,11,11
231854,51.52153,-0.1004,$150.00 ,10,40,70,345
232983,51.48668,-0.10513,$70.00 ,7,7,7,88
322606,51.47043,-0.17155,$70.00 ,22,44,74,349
236956,51.50363,-0.10926,$70.00 ,15,45,71,346
237907,51.52022,-0.10577,$313.00 ,1,1,2,220
79129,51.39648,-0.2117,$38.00 ,0,0,0,204
323473,51.53861,-0.09678,$140.00 ,2,10,40,40
79571,51.49096,-0.16183,$99.00 ,0,0,0,0
238349,51.49609,-0.22782,$120.00 ,0,0,0,0
324055,51.55311,0.02273,$29.00 ,29,59,89,364
238440,51.5191,-0.2053,$150.00 ,0,0,0,0
80123,51.45173,-0.15556,$100.00 ,0,15,34,64
325809,51.54897,-0.18309,$815.00 ,21,30,60,335
80441,51.49297,-0.1216,$95.00 ,0,0,0,0
326146,51.57139,-0.03131,$120.00 ,0,0,0,0
238711,51.51156,-0.19579,$150.00 ,0,0,0,130
326633,51.47565,-0.15159,$80.00 ,7,27,54,291
239697,51.54491,-0.20988,$55.00 ,0,0,0,0
81052,51.53917,-0.10221,$133.00 ,0,0,0,0
81080,51.40644,-0.33563,$170.00 ,27,57,87,354
326655,51.46201,-0.117145,$100.00 ,12,42,69,324
81410,51.52139,-0.13932,$400.00 ,21,51,81,81
240734,51.57542,-0.06921,$75.00 ,0,0,0,0
241621,51.42865,-0.15725,$48.00 ,3,5,13,13
329585,51.46945,-0.13013,$158.00 ,8,38,68,76
241975,51.56094,-0.10893,$40.00 ,2,2,2,134
243077,51.55314,-0.04586,$123.00 ,3,3,6,6
81449,51.51061,-0.06646,$192.00 ,2,22,45,218
81473,51.41565,-0.07714,$40.00 ,0,22,52,52
329610,51.56407,-0.01151,$100.00 ,30,60,90,365
244125,51.52932,-0.08094,$693.00 ,7,25,53,325
330044,51.48423,-0.2629,$40.00 ,0,0,0,0
245116,51.55012,-0.11695,$70.00 ,8,38,68,343
81635,51.52707,-0.10923,$109.00 ,22,52,82,341
330932,51.55301,-0.12364,$140.00 ,0,26,27,251
81951,51.58388,0.15463,$190.00 ,29,59,89,364
246271,51.53299,-0.0335,$100.00 ,29,51,51,51
331058,51.50095,-0.25827,$65.00 ,6,20,30,217
249395,51.55468,-0.13524,$500.00 ,0,0,0,0
252016,51.47615,-0.06092,$60.00 ,17,47,77,352
84223,51.48579,-0.1077,$65.00 ,3,3,3,255
334310,51.45625,-0.01633,$38.00 ,3,8,8,197
84532,51.57665634,-0.061099,$48.00 ,7,33,63,63
254996,51.52339,-0.31421,$40.00 ,11,30,57,312
334603,51.54363,-0.25556,$317.00 ,13,13,14,78
255961,51.420254,-0.168066,$35.00 ,0,0,0,101
255963,51.41973,-0.16891,$30.00 ,0,0,0,101
85191,51.49168,-0.1157,$72.00 ,9,33,63,338
335867,51.53098,-0.01191,$200.00 ,0,0,0,0
86092,51.48606,-0.19752,$135.00 ,1,5,8,83
87827,51.5107,-0.18997,$150.00 ,30,60,90,365
257219,51.52999,-0.08276,$40.00 ,0,0,0,0
337806,51.55112,-0.07469,$95.00 ,0,0,0,225
263822,51.51854,0.02291,$150.00 ,0,0,0,206
89183,51.51427,-0.18243,$250.00 ,0,0,0,0
264776,51.44306,-0.01948,$315.00 ,4,34,57,249
338354,51.46777,-0.049772,$36.00 ,0,0,12,198
